dataset,target,objective,rows,sources,mean_spearman,median_spearman,mean_kendall,mean_top20_hit_rate,median_top20_hit_rate
UCS,ucs_kpa,performance,1728,6,0.4733885590994533,0.48821225259790463,0.35817119390101415,0.48236934342757415,0.5012531328320802
UCS,ucs_kpa,carbon_efficiency,1602,6,0.25935667197682366,0.3025990012162322,0.19440450600483697,0.36622762580209384,0.35106382978723405
CBR,cbr_pct,performance,485,3,0.5791870987026325,0.4196500120378436,0.4290743706278662,0.4042723149866007,0.3939393939393939
CBR,cbr_pct,carbon_efficiency,319,3,0.30513710725384224,0.349891687000145,0.17052876239568426,0.452991452991453,0.6666666666666666
