universal_id,source_dataset,source_doi,domain_family,response_type,ucs_kpa,cbr_pct,cbr_condition,curing_days,soil_id,soil_class,soil_location,sand_pct,silt_pct,clay_pct,gravel_pct,ll_pct,pl_pct,pi_pct,specific_gravity,omc_pct,mdd_gcm3,water_content_pct,dry_density_gcm3,cement_pct,lime_pct,fly_ash_pct,ggbs_pct,rice_husk_ash_pct,pond_ash_pct,marble_powder_pct,harha_pct,fgd_gypsum_pct,biopolymer_pct,xanthan_gum_pct,guar_gum_pct,chitosan_pct,lignin_pct,fiber_pct,polypropylene_pct,jute_pct,waste_plastic_pct,sludge_pct,coconut_shell_pct,naoh_pct,na2sio3_pct,alkali_activator_pct,water_binder_ratio,compaction_rate_mm_min,ucs_class,ucs_high_binary,kgco2e_per_100kg_soil,source_baseline,gain,gain_per_co2,pareto_response,cbr_class,cbr_pass_8
UCDV1_00148,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,320.0,,,7.0,,,,,,,,78.0,,45.0,,,1.68061224489796,19.0,,0.0,,0.0,100.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,low,0.0,8.0,16.9,303.1,37.8875,UCS,,
UCDV1_00160,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,320.0,,,14.0,,,,,,,,78.0,,45.0,,,1.68061224489796,19.0,,0.0,,0.0,100.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,low,0.0,8.0,16.9,303.1,37.8875,UCS,,
UCDV1_00172,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,320.0,,,28.0,,,,,,,,78.0,,45.0,,,1.68061224489796,19.0,,0.0,,0.0,100.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,low,0.0,8.0,16.9,303.1,37.8875,UCS,,
UCDV1_00335,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,10710.0,,,28.0,,,,,,,,34.2,,15.4,,,1.77,17.45,,63.0,,30.0,0.0,,,,,,,,,,,,,,,,,2.1727847794082,4.8272152205918,,0.0,,very_high,1.0,61.401835433822455,16.9,10693.1,174.14951726524183,UCS,,
UCDV1_00336,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,7550.0,,,28.0,,,,,,,,34.2,,15.4,,,1.77,17.45,,65.0,,30.0,0.0,,,,,,,,,,,,,,,,,1.26370284663196,3.73629715336804,,0.0,,very_high,1.0,61.029110853989586,16.9,7533.1,123.43453631534511,UCS,,
UCDV1_00349,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,3936.39,,,28.0,,,,,,,,46.0,,5.0,,,1.5,30.0,,70.0,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,very_high,1.0,59.5,16.9,3919.49,65.87378151260504,UCS,,
UCDV1_00654,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,23480.0,,,28.0,,,,,,,,37.7,,14.07,,,1.68827726809378,19.05,,67.5088316206503,,0.0,28.3531422178288,,,,,,,,,,,,,,,,,4.13802616152095,0.0,,0.0,,very_high,1.0,64.61638964880419,16.9,23463.1,363.11375685834554,UCS,,
UCDV1_00659,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,24260.0,,,28.0,,,,,,,,37.7,,14.07,,,1.68827726809378,19.05,,66.2896829875769,,0.0,27.8411100325816,,,,,,,,,,,,,,,,,5.86920697984153,0.0,,0.0,,very_high,1.0,65.61656771785673,16.9,24243.1,369.4661400797796,UCS,,
UCDV1_00724,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,10.17632/55v6f5yb89.1,alkali_activated_geopolymer,UCS,4475.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,,,very_high,1.0,0.075,5.0,4470.0,59600.0,UCS,,
UCDV1_00726,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,10.17632/55v6f5yb89.1,alkali_activated_geopolymer,UCS,3699.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,,,very_high,1.0,0.025,5.0,3694.0,147760.0,UCS,,
UCDV1_00872,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,10.17632/55v6f5yb89.1,alkali_activated_geopolymer,UCS,5768.0,,,28.0,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,0.25,,,very_high,1.0,0.27,5.0,5763.0,21344.44444444444,UCS,,
UCDV1_00873,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,10.17632/55v6f5yb89.1,alkali_activated_geopolymer,UCS,5410.0,,,28.0,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,0.2,,,very_high,1.0,0.21600000000000003,5.0,5405.0,25023.148148148146,UCS,,
UCDV1_00874,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,10.17632/55v6f5yb89.1,alkali_activated_geopolymer,UCS,4876.0,,,28.0,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,0.15,,,very_high,1.0,0.162,5.0,4871.0,30067.9012345679,UCS,,
UCDV1_00927,Mendeley 55v6f5yb89 - ASM geopolymer activator soil stabilization,10.17632/55v6f5yb89.1,alkali_activated_geopolymer,UCS,4440.0,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,very_high,1.0,0.05,5.0,4435.0,88700.0,UCS,,
UCDV1_00973,Taffese and Abegaz 2022 Buildings supplementary Table S1,10.3390/buildings12050613,cement_lime,UCS,4400.0,,,28.0,,ML,,,,,,18.0,14.0,4.0,,8.5,2.08,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,very_high,1.0,2.55,55.31,4344.69,1703.8,UCS,,
UCDV1_00981,Taffese and Abegaz 2022 Buildings supplementary Table S1,10.3390/buildings12050613,cement_lime,UCS,4700.0,,,28.0,,ML,,,,,,21.0,17.0,4.0,,8.5,2.08,,,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,very_high,1.0,3.4,55.31,4644.69,1366.085294117647,UCS,,
UCDV1_01050,Taffese and Abegaz 2022 Buildings supplementary Table S1,10.3390/buildings12050613,cement_lime,UCS,3100.0,,,28.0,,CL,,,,,,32.0,17.0,15.0,,13.0,1.95,,,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,very_high,1.0,2.25,55.31,3044.69,1353.1955555555555,UCS,,
UCDV1_01107,Taffese and Abegaz 2022 Buildings supplementary Table S1,10.3390/buildings12050613,cement_lime,UCS,5400.0,,,28.0,,MH,,,,,,52.0,34.0,18.0,,8.7,2.01,,,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,very_high,1.0,5.1,55.31,5344.69,1047.978431372549,UCS,,
UCDV1_01120,Taffese and Abegaz 2022 Buildings supplementary Table S1,10.3390/buildings12050613,cement_lime,UCS,1025.0,,,28.0,,CL,,,,,,42.25,19.3,22.95,,14.5,1.72,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,medium,0.0,0.0,55.31,969.69,,UCS,,
UCDV1_01121,Taffese and Abegaz 2022 Buildings supplementary Table S1,10.3390/buildings12050613,cement_lime,UCS,1120.0,,,28.0,,CL,,,,,,37.11,20.6,16.51,,15.1,1.73,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,medium,0.0,1.5,55.31,1064.69,709.7933333333334,UCS,,
UCDV1_01750,Zenodo_19242690_Biopolymer_UCS_CBR_2026,"Zaid, Waleed. (2024). Improving the Geotechnical Properties of a Soil Using Xanthan Gum and Concrete Waste",biopolymer_multi_additive,UCS,6834.02,,,96.0,,,"Gaziantep University campus, Turkey",0.0,0.0,100.0,,35.16,28.31,6.85,,,1.80796,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,very_high,1.0,0.0,76.0,6758.02,,UCS,,
UCDV1_01752,Zenodo_19242690_Biopolymer_UCS_CBR_2026,"Zaid, Waleed. (2024). Improving the Geotechnical Properties of a Soil Using Xanthan Gum and Concrete Waste",biopolymer_multi_additive,UCS,8395.09,,,96.0,,,"Gaziantep University campus, Turkey",0.0,0.0,100.0,,35.16,28.31,6.85,,,1.80796,,,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,very_high,1.0,2.5,76.0,8319.09,3327.636,UCS,,
UCDV1_01753,Zenodo_19242690_Biopolymer_UCS_CBR_2026,"Zaid, Waleed. (2024). Improving the Geotechnical Properties of a Soil Using Xanthan Gum and Concrete Waste",biopolymer_multi_additive,UCS,11009.5,,,96.0,,,"Gaziantep University campus, Turkey",0.0,0.0,100.0,,35.16,28.31,6.85,,,1.80796,,,0.0,,,,,,,,,2.5,,,,,,,,,,,,,,,,very_high,1.0,6.25,76.0,10933.5,1749.36,UCS,,
UCDV1_01754,Zenodo_19242690_Biopolymer_UCS_CBR_2026,"Zaid, Waleed. (2024). Improving the Geotechnical Properties of a Soil Using Xanthan Gum and Concrete Waste",biopolymer_multi_additive,UCS,13302.4,,,96.0,,,"Gaziantep University campus, Turkey",0.0,0.0,100.0,,35.16,28.31,6.85,,,1.80796,,,0.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,very_high,1.0,10.0,76.0,13226.4,1322.6399999999999,UCS,,
UCDV1_03341,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,30.66,,,,,,,,,,,,,,32.4,1.295,,,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,0.9,29.76,7.936000000000001,CBR,strong_>20,1.0
UCDV1_03342,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,30.66,,,,,,,,,,,,,,32.4,1.295,,,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.75,0.9,29.76,7.936000000000001,CBR,strong_>20,1.0
UCDV1_03343,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,58.67,,,,,,,,,,,,,,33.6,1.308,,,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.9,57.77,7.702666666666667,CBR,strong_>20,1.0
UCDV1_03344,Kafle and Baghbani 2025 WTS stabilisation,10.3390/su17219919,mixed_stabilized_soil,CBR,,58.67,,,,,,,,,,,,,,33.6,1.308,,,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,0.9,57.77,7.702666666666667,CBR,strong_>20,1.0
