model,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std
unconstrained,-1.2533005778202726,3.0063565437221804,2019.3753787885507,1310.7985864058282,1434.4748800096984,913.0841280785392,293.5817830674667,368.6989116010568
physics_constrained,-0.763123348745843,1.8158260578814513,1931.7375036701521,1214.0249280206754,1388.311938999908,865.2215980355088,289.8115113752931,436.0452626740234
