universal_id,Source,source_doi,domain_family,response_type,UCS_kPa,CBR,cbr_condition,Curing_Days,soil_id,soil_class,soil_location,sand_pct,silt_pct,Clay_Fraction,gravel_pct,ll_pct,pl_pct,Plasticity_Index,specific_gravity,OMC,MDD,Water_Content,dry_density_gcm3,Cement_Content,Lime_Content,Fly_Ash_Content,GGBS_Content,rice_husk_ash_pct,pond_ash_pct,marble_powder_pct,harha_pct,fgd_gypsum_pct,biopolymer_pct,xanthan_gum_pct,guar_gum_pct,chitosan_pct,lignin_pct,fiber_pct,polypropylene_pct,jute_pct,waste_plastic_pct,sludge_pct,coconut_shell_pct,naoh_pct,na2sio3_pct,alkali_activator_pct,water_binder_ratio,compaction_rate_mm_min,physical_quality_flag,Binder_Content,SiO2,Al2O3,CaO,A_clay,phi_ox,Delta_w,Binder_Total,Binder_Clay_Ratio,log_curing
UCDV1_00044,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,175.0,,,28.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,70.0,,24.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,94.0,,3.367295829986474
UCDV1_00045,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,192.0,,,28.0,,,,,,,,35.5,,21.2,,,1.549,22.8,,60.0,,32.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,92.0,,3.367295829986474
UCDV1_00046,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,196.0,,,28.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,100.0,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,100.0,,3.367295829986474
UCDV1_00047,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,1357.0,,,28.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,94.0,,4.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,98.0,,3.367295829986474
UCDV1_00048,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,1366.0,,,28.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,88.0,,8.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,96.0,,3.367295829986474
UCDV1_00049,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,1826.0,,,28.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,82.0,,12.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,94.0,,3.367295829986474
UCDV1_00050,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,1961.0,,,28.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,76.0,,16.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,92.0,,3.367295829986474
UCDV1_00051,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,1210.0,,,28.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,80.0,,16.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,96.0,,3.367295829986474
UCDV1_00052,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,1796.0,,,28.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,75.0,,20.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,95.0,,3.367295829986474
UCDV1_00053,Luo et al. (2025) open GitHub UCS benchmark,10.1007/s42452-025-07766-9,geopolymer_ash_cementitious,UCS,2054.0,,,28.0,,,,,,,,35.5,,21.2,,,1.696,21.57,,70.0,,24.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,False,,,,,,,,94.0,,3.367295829986474
